Location,Virtual Account Name,Virtual Account Link,Relationship Link,Rule Name,Rule Formula,Variable Name,Source Name,Source Link,Source Apportionment,Effective From YYYY-MM-DD,Effective To YYYY-MM-DD,nz_copy,source_style,source_supplier,source_location,source_replaced_on,identifier,targets_on_same_source_link,targets_on_same_source_name,source_number_at_n_open_locations,open_accounts_on_identifier,source_months_with_kwh,target_months_with_kwh,source_kwh_JulAug,target_kwh_JulAug,target_tco2e_JulAug,target_kwh_MarJun,target_tco2e_MarJun,target_factor_JulAug,flags
Asphalt Prod - Invercargill,Copy of Eco_ICP_0000734355NVC9C_CERTS,6397549,81,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000734355NVC9C,6287769,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Asphalt Prod - Invercargill,,0000734355NVC9C,1,1,1,Eco_ICP_0000734355NVC9C,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",62319.0,0.0,0.0,3789.0,-0.38,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Mogo (154),50002617992_4204072845_CERTS,6403508,177,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002617992_4204072845,6181000,100.0000,2026-07-01,,False,Electricity Large Market,Origin,Asphalt Prod - Mogo (154),,4204072845,1,1,1,50002617992_4204072845,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Jul26,Aug26",58030.0,58030.0,-38.3,0.0,0.0,LGCs NSW 24-25,OK
Asphalt Prod - Mogo (154),50002769514_4001127731_CERTS,6403568,178,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002769514_4001127731,6203437,100.0000,2026-07-01,,False,Electricity Small Market,Origin,Asphalt Prod - Mogo (154),,4001127731,1,1,1,50002769514_4001127731,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Jul26,Aug26",6998.0,6998.0,-4.62,0.0,0.0,LGCs NSW 24-25,OK
Asphalt Prod - Mowbray (360),DEDI01_088_8000326927_CERTS,6403553,162,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,DEDI01_088_8000326927,6402936,100.0000,2026-07-01,,False,Electricity Small Market,ShellEnergyAU,Asphalt Prod - Mowbray (360),,8000326927,1,1,1,DEDI01_088_8000326927,"Jul26,Aug26","Jul26,Aug26",106670.0,106670.0,-16.0,0.0,0.0,LGCs Tasmania 24-25,OK
Asphalt Prod - Rosehill (163),50002756108_4311396021_CERTS,6403563,172,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002756108_4311396021,6200593,100.0000,2026-07-01,,False,Electricity Large Market,Origin,Asphalt Prod - Rosehill (163),,4311396021,1,1,1,50002756108_4311396021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Jul26,Aug26",298187.0,298187.0,-196.8,0.0,0.0,LGCs NSW 24-25,OK
Asphalt Prod - Rosehill (163),50002756109_4311396022_CERTS,6403564,173,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002756109_4311396022,6200594,100.0000,2026-07-01,,False,Electricity Large Market,Origin,Asphalt Prod - Rosehill (163),,4311396022,1,1,1,50002756109_4311396022,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Jul26,Aug26",74024.0,74024.0,-48.86,0.0,0.0,LGCs NSW 24-25,OK
Asphalt Prod - Shepparton (308),900018214_6204134328_CERTS,6403571,181,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018214_6204134328,6402914,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,Asphalt Prod - Shepparton (308),,6204134328,1,1,1,900018214_6204134328,"Jul26,Aug26","Jul26,Aug26",99871.0,99871.0,-77.9,0.0,0.0,LGCs Victoria 25-26,OK
Asphalt Prod - Somerton (303),900018217_6001311036_CERTS,6403569,179,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018217_6001311036,6402917,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,Asphalt Prod - Somerton (303),,6001311036,1,1,1,900018217_6001311036,"Jul26,Aug26","Jul26,Aug26",178775.0,178775.0,-139.44,0.0,0.0,LGCs Victoria 25-26,OK
Asphalt Prod - Teralba (152),50002617996_4104030101_CERTS,6403554,163,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002617996_4104030101,6181421,100.0000,2026-07-01,,False,Electricity Large Market,Origin,Asphalt Prod - Teralba (152),,4104030101,1,1,1,50002617996_4104030101,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Jul26,Aug26",164936.0,164936.0,-108.86,0.0,0.0,LGCs NSW 24-25,OK
Asphalt Prod - Traralgon (300),900018219_6306009124_CERTS,6403573,183,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018219_6306009124,6402919,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,Asphalt Prod - Traralgon (300),,6306009124,1,1,1,900018219_6306009124,"Jul26,Aug26","Jul26,Aug26",59421.0,59421.0,-46.35,0.0,0.0,LGCs Victoria 25-26,OK
Asphalt Prod - Wellington,Copy of Eco_ICP_1001113152UNBF4_CERTS,6397550,82,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_1001113152UNBF4,6223427,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Asphalt Prod - Wellington,,1001113152UNBF4,1,1,1,Eco_ICP_1001113152UNBF4,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",159439.0,0.0,0.0,313293.0,-31.68,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Whangarei,Copy of Eco_ICP_0000519132NR7B9_CERTS,6397551,83,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000519132NR7B9,6223428,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Asphalt Prod - Whangarei,,0000519132NR7B9,1,1,1,Eco_ICP_0000519132NR7B9,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",87398.0,0.0,0.0,174652.0,-17.66,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Wingfield (523),900018209_2002254877_CERTS,6403580,190,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018209_2002254877,6402910,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,Asphalt Prod - Wingfield (523),,2002254877,1,1,1,900018209_2002254877,"Jul26,Aug26","Jul26,Aug26",210968.0,210968.0,-48.52,0.0,0.0,LGCs SA 24-25,OK
Asphalt Prod - Wodonga (315),900018213_VBBB002698_CERTS,6403576,186,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018213_VBBB002698,6402913,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,Asphalt Prod - Wodonga (315),,VBBB002698,1,1,1,900018213_VBBB002698,"Jul26,Aug26","Jul26,Aug26",66948.0,66948.0,-52.22,0.0,0.0,LGCs Victoria 25-26,OK
Auburn,50002617957_4103713125_CERTS,6403536,145,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002617957_4103713125,6181664,100.0000,2026-07-01,,False,Electricity Large Market,Origin,Auburn,,4103713125,1,1,1,50002617957_4103713125,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Jul26,Aug26",544217.0,544217.0,-359.18,0.0,0.0,LGCs NSW 24-25,OK
Auburn,50002617965_4103711576_CERTS,6403535,144,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002617965_4103711576,6182730,100.0000,2026-07-01,,False,Electricity Large Market,Origin,Auburn,,4103711576,1,1,1,50002617965_4103711576,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Jul26,Aug26",54147.0,54147.0,-35.74,0.0,0.0,LGCs NSW 24-25,OK
Austins Ferry,DEDI01_8000002963_CERTS,6403584,194,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,DEDI01_8000002963,6402933,100.0000,2026-07-01,,False,Electricity Small Market,ShellEnergyAU,Austins Ferry,,8000002963,1,1,1,DEDI01_8000002963,"Jul26,Aug26","Jul26,Aug26",15563.0,15563.0,-2.33,0.0,0.0,LGCs Tasmania 24-25,OK
"BOP Omanawa - 345 Matakokiri Drive, Tauranga",Copy of Eco_ICP_1000610486PC18D_CERTS,6397557,89,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_1000610486PC18D,6223442,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,"BOP Omanawa - 345 Matakokiri Drive, Tauranga",,1000610486PC18D,1,1,1,Eco_ICP_1000610486PC18D,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",53956.0,0.0,0.0,100754.0,-10.19,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Bitumen - Bluff,Copy of Eco_ICP_0000931749NV418_CERTS,6397552,84,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000931749NV418,6223429,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Bitumen - Bluff,,0000931749NV418,1,1,1,Eco_ICP_0000931749NV418,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",147029.0,0.0,0.0,155755.0,-15.75,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Bitumen - Lyttleton,Copy of Eco_ICP_0006863450RN0A4_CERTS,6397553,85,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0006863450RN0A4,6223431,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Bitumen - Lyttleton,,0006863450RN0A4,1,1,1,Eco_ICP_0006863450RN0A4,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",97185.0,0.0,0.0,228166.0,-23.07,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Bitumen - Lyttleton,Copy of Eco_ICP_0007202058RN859_CERTS,6397554,86,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0007202058RN859,6223430,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Bitumen - Lyttleton,,0007202058RN859,1,1,1,Eco_ICP_0007202058RN859,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",184519.0,0.0,0.0,357121.0,-36.11,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Bitumen - Mt Maunganui,Copy of Eco_ICP_0000939570TUEC4_CERTS,6397555,87,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000939570TUEC4,6223432,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Bitumen - Mt Maunganui,,0000939570TUEC4,1,1,1,Eco_ICP_0000939570TUEC4,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",227951.0,0.0,0.0,508630.0,-51.43,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Bitumen - Taranaki,Copy of Eco_ICP_0001510110PCCA2_CERTS,6397556,88,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0001510110PCCA2,6223433,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Bitumen - Taranaki,,0001510110PCCA2,1,1,1,Eco_ICP_0001510110PCCA2,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",143609.0,0.0,0.0,292787.0,-29.61,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Calder Park Light Service Facility,Calder Park 100% Renewable Electricity,6401429,114,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Grid Electricity,6397585,100.0000,,,False,Electricity – purchased from grid [kWh],Downer,Calder Park Light Service Facility,,Grid Electricity,1,1,1,Grid Electricity,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26,Jul26,Aug26",413.0,413.0,-0.32,425.0,-0.33,LGCs Victoria 25-26,AU certificate with no Effective From; certificate credited before 1 Jul 26
Corporate - Offices (Cairns QLD),900018202_3030075637_CERTS,6403566,175,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018202_3030075637,6402209,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,Corporate - Offices (Cairns QLD),,3030075637,1,1,1,900018202_3030075637,"Jul26,Aug26","Jul26,Aug26",2108.0,2108.0,-1.5,0.0,0.0,LGCs QLD 24-25,OK
Dandenong - PAV,900018211_6407100027_CERTS,6403574,184,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018211_6407100027,6402911,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,Dandenong - PAV,,6407100027,1,1,1,900018211_6407100027,"Jul26,Aug26","Jul26,Aug26",17494.0,17494.0,-13.65,0.0,0.0,LGCs Victoria 25-26,OK
Eastern Creek,50002755315_4311006315_CERTS,6403562,171,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002755315_4311006315,6200866,100.0000,2026-07-01,,False,Electricity Large Market,Origin,Eastern Creek,,4311006315,1,1,1,50002755315_4311006315,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Jul26,Aug26",111201.0,111201.0,-73.39,0.0,0.0,LGCs NSW 24-25,OK
Gillman - PAV,900018206_2001160742_CERTS,6403579,189,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018206_2001160742,6402907,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,Gillman - PAV,,2001160742,1,1,1,900018206_2001160742,"Jul26,Aug26","Jul26,Aug26",20611.0,20611.0,-4.74,0.0,0.0,LGCs SA 24-25,OK
Gippsland Asphalt - Bairnsdale,900018218_6305885252_CERTS,6403509,136,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018218_6305885252,6402918,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,Gippsland Asphalt - Bairnsdale,,6305885252,1,1,1,900018218_6305885252,"Jul26,Aug26","Jul26,Aug26",46358.0,46358.0,-36.16,0.0,0.0,LGCs Victoria 25-26,OK
Gympie,1003085_3120129028_CERTS,6403602,199,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,1003085_3120129028,6400665,100.0000,2026-07-01,,False,Electricity Small Market,CSEnergy,Gympie,,3120129028,1,1,1,1003085_3120129028,"Apr26,May26,Jun26,Jul26,Aug26","Jul26,Aug26",28313.0,28313.0,-20.1,0.0,0.0,LGCs QLD 24-25,OK
HCMT -  East Pakenham Depot,HCMT 100% Renewable Deduction,6401427,113,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,68_Electricity – purchased from grid,6182821,100.0000,,,False,Electricity – purchased from grid [kWh],Downer,HCMT -  East Pakenham Depot,,Electricity – purchased from grid,1,1,1,0049_Electricity – purchased from grid | 68_Electricity – purchased from grid | 91190_Electricity – purchased from grid,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26,Jul26,Aug26",438924.0,438924.0,-342.36,777295.0,-606.29,LGCs Victoria 25-26,AU certificate with no Effective From; certificate credited before 1 Jul 26
Hamilton Depot,Copy of Eco_ICP_0000031643WEA48_CERTS,6397558,90,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000031643WEA48,6223434,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Hamilton Depot,,0000031643WEA48,1,1,1,Eco_ICP_0000031643WEA48,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",30195.0,0.0,0.0,61950.0,-6.26,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Hastings Depot,Copy of Eco_ICP_0000015023HBABD_CERTS,6400408,112,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000015023HBABD,6223435,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Hastings Depot,,0000015023HBABD,1,1,1,Eco_ICP_0000015023HBABD,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",4581.0,0.0,0.0,9947.0,-1.01,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Hastings Depot,Copy of Eco_ICP_0000024050WE5E2_CERTS,6397567,99,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000024050WE5E2,6391000,100.0000,,,True,Electricity – purchased from grid [kWh],,Hastings Depot,,0000024050WE5E2,1,1,2,Eco_ICP_0000024050WE5E2,"Mar26,Apr26,May26,Jun26,Jul26","Mar26,Apr26,May26,Jun26",48669.0,0.0,0.0,191537.0,-19.37,,"NZ 'Copy of' name, no Effective From; source account number exists at more than one open location; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Hawkins Construction Recharges,Copy of Eco_ICP_0141534532LCA70_CERTS,6397561,93,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0141534532LCA70,6287770,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Hawkins Construction Recharges,,0141534532LCA70,1,1,1,Eco_ICP_0141534532LCA70,none,none,0.0,0.0,0.0,0.0,0.0,,"NZ 'Copy of' name, no Effective From; source has no kWh in Mar-Aug 26 export"
Hawkins Construction Recharges,Copy of Eco_ICP_1002147325UN75B_CERTS,6397560,92,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_1002147325UN75B,6223436,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Hawkins Construction Recharges,,1002147325UN75B,1,1,1,Eco_ICP_1002147325UN75B,"Mar26,Apr26,May26","Mar26,Apr26,May26",0.0,0.0,0.0,32213.0,-3.26,,"NZ 'Copy of' name, no Effective From; certificate credited before 1 Jul 26"
Hexham Office,50002617953_4103803680_CERTS,6403545,154,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002617953_4103803680,6182723,100.0000,2026-07-01,,False,Electricity Large Market,Origin,Hexham Office,,4103803680,1,1,1,50002617953_4103803680,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Jul26,Aug26",52838.0,52838.0,-34.87,0.0,0.0,LGCs NSW 24-25,OK
Largs Bay,900018207_SAAAAAC481_CERTS,6403582,192,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018207_SAAAAAC481,6402908,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,Largs Bay,,SAAAAAC481,1,1,1,900018207_SAAAAAC481,"Jul26,Aug26","Jul26,Aug26",24730.0,24730.0,-5.69,0.0,0.0,LGCs SA 24-25,OK
Largs Bay,900018208_SAAAAAB023_CERTS,6403581,191,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018208_SAAAAAB023,6402909,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,Largs Bay,,SAAAAAB023,1,1,1,900018208_SAAAAAB023,"Jul26,Aug26","Jul26,Aug26",85105.0,85105.0,-19.57,0.0,0.0,LGCs SA 24-25,OK
MT-Carrara,900018193_QB06082220_CERTS,6403578,188,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018193_QB06082220,6402906,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,MT-Carrara,,QB06082220,1,1,1,900018193_QB06082220,"Jul26,Aug26","Jul26,Aug26",13654.0,13654.0,-9.69,0.0,0.0,LGCs QLD 24-25,OK
MT-Carrara,900018198_QB06081428_CERTS,6403551,160,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018198_QB06081428,6403469,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,MT-Carrara,,QB06081428,1,1,1,900018198_QB06081428,"Jul26,Aug26","Jul26,Aug26",198488.0,198488.0,-140.93,0.0,0.0,LGCs QLD 24-25,OK
Maryborough,900018200_QGGG000010_CERTS,6403552,161,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018200_QGGG000010,6403471,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,Maryborough,,QGGG000010,1,1,1,900018200_QGGG000010,"Jul26,Aug26","Jul26,Aug26",549014.0,549014.0,-389.8,0.0,0.0,LGCs QLD 24-25,OK
"Mulgrave - Wellington Rd, Clayton",900018210_6407695655_CERTS,6403575,185,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018210_6407695655,6402210,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,"Mulgrave - Wellington Rd, Clayton",,6407695655,1,1,1,900018210_6407695655,"Jul26,Aug26","Jul26,Aug26",4958.0,4958.0,-3.87,0.0,0.0,LGCs Victoria 25-26,OK
Nelson Depot,Copy of Eco_ICP_0000052034NT6A8_CERTS,6397562,94,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000052034NT6A8,6223437,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Nelson Depot,,0000052034NT6A8,1,1,1,Eco_ICP_0000052034NT6A8,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",13574.0,0.0,0.0,38523.0,-3.9,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
